depth,GR
2946.307,82.8
2946.431,83.136
2946.556,81.57
2946.68,80.405
2946.804,80.962
2946.928,83.363
2947.052,87.229
2947.177,89.697
2947.301,88.975
2947.425,86.962
2947.549,87.109
2947.674,89.786
2947.798,91.946
2947.922,92.684
2948.046,94.721
2948.17,97.956
2948.295,99.322
2948.419,96.181
2948.543,91.021
2948.667,87.202
2948.792,84.77
2948.916,81.906
2949.04,79.502
2949.164,79.818
2949.289,83.13
2949.413,87.746
2949.537,91.292
2949.661,92.686
2949.785,91.973
2949.91,90.874
2950.034,89.982
2950.158,90.402
2950.282,91.694
2950.406,91.28
2950.531,87.846
2950.655,84.665
2950.779,84.972
2950.903,87.344
2951.028,88.108
2951.152,87.355
2951.276,87.627
2951.4,88.704
2951.524,89.576
2951.649,90.391
2951.773,92.206
2951.897,94.469
2952.021,95.182
2952.146,94.264
2952.27,93.792
2952.394,95.103
2952.518,97.158
2952.642,97.733
2952.767,96.52
2952.891,94.62
2953.015,93.477
2953.139,92.468
2953.263,90.441
2953.388,88.159
2953.512,87.1
2953.636,88.76
2953.76,91.619
2953.885,93.499
2954.009,92.966
2954.133,90.83
2954.257,88.787
2954.382,87.637
2954.506,87.256
2954.63,88.383
2954.754,90.795
2954.878,93.258
2955.003,93.843
2955.127,93.363
2955.251,92.965
2955.375,92.902
2955.5,92.02
2955.624,90.304
2955.748,89.93
2955.872,90.745
2955.996,90.307
2956.121,88.473
2956.245,88.029
2956.369,91.202
2956.493,94.164
2956.617,93.398
2956.742,89.135
2956.866,84.814
2956.99,82.845
2957.115,83.875
2957.239,86.632
2957.363,89.879
2957.487,92.312
2957.611,93.954
2957.736,95.058
2957.86,95.735
2957.984,95.46
2958.108,93.211
2958.232,90.107
2958.357,88.437
2958.481,89.017
2958.605,89.089
2958.729,86.545
2958.854,83.723
2958.978,83.576
2959.102,86.076
2959.226,88.635
2959.35,90.244
2959.475,91.81
2959.599,92.893
2959.723,92.393
2959.847,90.648
2959.971,88.773
2960.096,86.894
2960.22,84.429
2960.344,82.27
2960.468,82.619
2960.593,85.601
2960.717,89.724
2960.841,94.024
2960.965,97.108
2961.089,97.488
2961.214,95.128
2961.338,92.198
2961.462,89.225
2961.586,87.342
2961.711,87.435
2961.835,88.534
2961.959,86.748
2962.083,81.632
2962.208,77.911
2962.332,79.729
2962.456,84.891
2962.58,89.408
2962.704,91.268
2962.829,90.901
2962.953,90.572
2963.077,91.224
2963.201,91.978
2963.325,91.488
2963.45,91.153
2963.574,93.44
2963.698,97.709
2963.822,100.797
2963.947,100.12
2964.071,97.266
2964.195,95.368
2964.319,96.299
2964.443,98.265
2964.568,99.372
2964.692,99.171
2964.816,99.263
